Level,Date and Time,Source,Event ID,Task Category
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2875/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2876/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2877/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2878/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2879/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2880/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2881/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2882/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2883/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2884/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
