Event,EventStartTime,EventEndTime
Dell SupportAssist Remediation,1900-01-01 09:33:16.792145,1900-01-01 09:33:16.800618
igccservice,1900-01-01 09:33:16.800618,1900-01-01 09:33:20.208867
Microsoft-Windows-CertificateServicesClient-AutoEnrollment,1900-01-01 09:33:20.208867,1900-01-01 09:33:20.033742
Windows Error Reporting,1900-01-01 09:33:20.033742,1900-01-01 09:33:22.951356
DellCommandPowerManager,1900-01-01 09:33:22.951356,1900-01-01 09:33:22.230003
Windows Error Reporting,1900-01-01 09:33:22.230003,1900-01-01 09:33:29.054500
gupdate,1900-01-01 09:33:29.054500,1900-01-01 09:33:52.107615
Application Error,1900-01-01 09:33:52.107615,1900-01-01 09:33:52.412310
Windows Error Reporting,1900-01-01 09:33:52.412310,1900-01-01 09:33:58.599666
edgeupdate,1900-01-01 09:33:58.599666,1900-01-01 09:34:00.823852
Application Error,1900-01-01 09:34:00.823852,1900-01-01 09:34:01.099760
Windows Error Reporting,1900-01-01 09:34:01.099760,1900-01-01 09:34:01.979478
Microsoft-Windows-Security-SPP,1900-01-01 09:34:01.979478,1900-01-01 09:34:02.479351
Application Error,1900-01-01 09:34:02.479351,1900-01-01 09:34:02.753487
Windows Error Reporting,1900-01-01 09:34:02.753487,1900-01-01 09:34:06.033198
Application Error,1900-01-01 09:34:06.033198,1900-01-01 09:34:06.293549
Windows Error Reporting,1900-01-01 09:34:06.293549,1900-01-01 09:34:35.057860
Application Error,1900-01-01 09:34:35.057860,1900-01-01 09:34:35.285165
Windows Error Reporting,1900-01-01 09:34:35.285165,1900-01-01 09:34:41.325662
Microsoft-Windows-Security-SPP,1900-01-01 09:34:41.325662,1900-01-01 09:35:03.105803
SecurityCenter,1900-01-01 09:35:03.105803,1900-01-01 09:35:42.562264
Microsoft-Windows-Security-SPP,1900-01-01 09:35:42.562264,1900-01-01 11:35:04.175492
Dell SupportAssist Remediation,1900-01-01 11:35:04.175492,1900-01-01 11:35:04.185399
igccservice,1900-01-01 11:35:04.185399,1900-01-01 09:31:38.924969
Dell SupportAssist Remediation,1900-01-01 09:31:38.924969,1900-01-01 09:31:44.827961
igccservice,1900-01-01 09:31:44.827961,1900-01-01 09:31:49.997081
Dell SupportAssist Remediation,1900-01-01 09:31:49.997081,1900-01-01 09:31:50.231580
igccservice,1900-01-01 09:31:50.231580,1900-01-01 09:31:53.542825
Microsoft-Windows-Security-SPP,1900-01-01 09:31:53.542825,1900-01-01 09:31:55.581735
Microsoft-Windows-CertificateServicesClient-AutoEnrollment,1900-01-01 09:31:55.581735,1900-01-01 09:31:55.728172
DellCommandPowerManager,1900-01-01 09:31:55.728172,1900-01-01 09:31:55.794408
Microsoft-Windows-MSDTC Client 2,1900-01-01 09:31:55.794408,1900-01-01 09:31:58.426972
Application Error,1900-01-01 09:31:58.426972,1900-01-01 09:31:59.183990
Windows Error Reporting,1900-01-01 09:31:59.183990,1900-01-01 09:32:07.422779
Application Error,1900-01-01 09:32:07.422779,1900-01-01 09:32:07.892824
Windows Error Reporting,1900-01-01 09:32:07.892824,1900-01-01 09:32:34.790449
gupdate,1900-01-01 09:32:34.790449,1900-01-01 09:32:43.339349
edgeupdate,1900-01-01 09:32:43.339349,1900-01-01 09:33:18.792709
Microsoft-Windows-Security-SPP,1900-01-01 09:33:18.792709,1900-01-01 09:33:22.335060
Dell SupportAssist Remediation,1900-01-01 09:33:22.335060,1900-01-01 09:33:22.424685
igccservice,1900-01-01 09:33:22.424685,1900-01-01 09:33:23.068134
Dell SupportAssist Remediation,1900-01-01 09:33:23.068134,1900-01-01 09:33:23.112383
igccservice,1900-01-01 09:33:23.112383,1900-01-01 09:33:25.627381
Dell SupportAssist Remediation,1900-01-01 09:33:25.627381,1900-01-01 09:33:25.629239
igccservice,1900-01-01 09:33:25.629239,1900-01-01 09:33:33.882239
Microsoft-Windows-Security-SPP,1900-01-01 09:33:33.882239,1900-01-01 09:33:51.881622
SecurityCenter,1900-01-01 09:33:51.881622,1900-01-01 09:33:55.346678
Application Error,1900-01-01 09:33:55.346678,1900-01-01 09:33:55.697390
Windows Error Reporting,1900-01-01 09:33:55.697390,1900-01-01 09:34:08.636296
Microsoft-Windows-Security-SPP,1900-01-01 09:34:08.636296,1900-01-01 09:34:14.274603
Application Error,1900-01-01 09:34:14.274603,1900-01-01 09:34:14.542497
